,GEO_ID,B19013_001E,B25008_002E,B25008_003E,state,county,tract,year
0,1400000US41035970100,58182,3027,348,41,035,970100,2023
1,1400000US41035970201,34063,1035,410,41,035,970201,2023
2,1400000US41035970202,52260,2497,599,41,035,970202,2023
3,1400000US41035970300,71659,2620,354,41,035,970300,2023
4,1400000US41035970400,93500,1334,342,41,035,970400,2023
5,1400000US41035970500,54167,1282,381,41,035,970500,2023
6,1400000US41035970600,64712,1118,484,41,035,970600,2023
7,1400000US41035970700,68885,1599,760,41,035,970700,2023
8,1400000US41035970800,67095,2132,498,41,035,970800,2023
9,1400000US41035970901,107250,1818,377,41,035,970901,2023
10,1400000US41035970902,44402,2490,522,41,035,970902,2023
11,1400000US41035971000,106683,2435,40,41,035,971000,2023
12,1400000US41035971100,81418,3786,1730,41,035,971100,2023
13,1400000US41035971200,41335,1341,810,41,035,971200,2023
14,1400000US41035971300,58942,5079,1286,41,035,971300,2023
15,1400000US41035971400,80560,3732,2190,41,035,971400,2023
16,1400000US41035971500,49213,2670,2023,41,035,971500,2023
17,1400000US41035971600,20256,898,1683,41,035,971600,2023
18,1400000US41035971700,40494,1567,2002,41,035,971700,2023
19,1400000US41035971800,33580,952,1589,41,035,971800,2023
20,1400000US41035971900,43628,1861,1454,41,035,971900,2023
21,1400000US41035972000,62184,2311,1222,41,035,972000,2023
